ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj
002594.SZ,20150827,45.99,48.81,45.99,48.81,44.37,4.44,10.01,209849.09,997453.7899,49.012,47.879,52.846,-3.414157642,-1.65153437,-1.762623273,17.45333076,7.853158411,36.65367545
002594.SZ,20150828,50.5,52.25,47.84,51.01,48.81,2.2,4.51,230969.69,1149489.554,49.012,47.879,52.846,-3.22725091,-1.966677678,-1.260573232,32.74309648,18.62732061,60.97464822
002594.SZ,20150831,50.87,52.78,49,49.85,51.01,-1.16,-2.27,178550.32,906500.0049,49.012,47.879,52.846,-3.136571836,-2.200656509,-0.935915326,43.93519902,31.37720875,69.05117955
002594.SZ,20150901,49,49.65,45.32,49.59,49.85,-0.26,-0.52,196694.5,948461.1384,49.012,47.879,52.846,-3.050523309,-2.370629869,-0.67989344,50.66692802,42.44840784,67.10396838
002594.SZ,20150902,47.2,51.5,45.76,45.8,49.59,-3.79,-7.64,135880.24,657789.0227,49.012,47.879,52.846,-3.250678757,-2.546639647,-0.70403911,49.35414139,47.98542281,52.09157855
002594.SZ,20150907,47.8,50.05,47.01,47.69,45.8,1.89,4.13,128832.63,624449.4987,52.108,51.544,52.846,-3.2196817,-2.681248057,-0.538433642,52.68789895,50.90298945,56.25771794
002594.SZ,20150908,48.4,51.96,47.26,51.8,47.69,4.11,8.62,148378.95,739834.4457,52.108,51.544,52.846,-2.830841479,-2.711166742,-0.119674737,64.99528278,55.67910771,83.62763293
002594.SZ,20150909,52.58,56,52.17,55.5,51.8,3.7,7.14,221248.01,1208202.791,52.108,51.544,52.846,-2.198777585,-2.60868891,0.409911325,83.31964528,67.00094233,115.9570512
002594.SZ,20150910,53.8,54.99,52.4,52.7,55.5,-2.8,-5.05,134767.08,724323.4014,52.108,51.544,52.846,-1.90187536,-2.4673262,0.56545084,86.14195845,78.1522955,102.1212844
002594.SZ,20150911,52.53,53.99,51.68,52.85,52.7,0.15,0.28,93250.96,492777.4315,52.108,51.544,52.846,-1.635620051,-2.300984971,0.665364919,78.83692211,82.76617528,70.97841578
002594.SZ,20150914,52.85,54.13,47.61,47.85,52.85,-5,-9.46,133426.59,672308.5755,50.98,51.544,52.846,-1.807236319,-2.20223524,0.394998921,54.43196005,73.13694687,17.02198641
002594.SZ,20150915,46.7,49.4,46.24,47.15,47.85,-0.7,-1.46,97655.8,465990.8972,50.98,51.544,52.846,-1.976938679,-2.157175928,0.180237249,37.10986267,56.79291495,-2.256241875
002594.SZ,20150916,48.02,51.87,47.31,51.87,47.15,4.72,10.01,135238.34,671951.2248,50.98,51.544,52.846,-1.710842936,-2.067909329,0.357066394,33.49731293,41.67971188,17.13251502
002594.SZ,20150917,53,56.21,52.61,52.85,51.87,0.98,1.89,241314.43,1317726.179,50.98,51.544,52.846,-1.404689941,-1.935265452,0.530575511,47.70056563,39.43591374,64.22986941
